brand_name,model,processor_brand,iter,rating,memory_type,gpu_brand,gpu_type,Touch_Screen,os,virtualization_support,linux_compatible,cuda_support,code_compile_benchmark,display_productivity,threads_num,core_num,ram_num,memory_size,display_size,resolutioin_height,ppi,resolutioin_width,warrenty,development_performance_score,price_to_performance,price
MSI,MSI Modern 14 C12MO-1205IN Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),Intel,Core i3,4.25,SSD,Intel,Integrated,False,Windows 11,True,True,False,Slow,Medium,8.0,8.0,8.0,512.0,14.0,1920.0,157.35,1080.0,1.0,32.0,1.1,28990
Lenovo,Lenovo Legion 7 16IRX9 83FD0010IN Gaming Laptop (14th Gen Core i7/ 32GB/ 1TB SSD/ Win11/ 8GB RTX 4070 Graph),Intel,Core i7,4.75,SSD,NVIDIA,Dedicated,False,Windows 11,True,True,True,Medium,Fast,28.0,20.0,32.0,1000.0,16.0,3200.0,235.85,2000.0,1.0,110.0,0.61,180190
Lenovo,Lenovo LOQ 15IRX9 83DV00BHIN Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB RTX3050),Intel,Core i5,4.05,SSD,NVIDIA,Dedicated,False,Windows 11,True,True,True,Medium,Slow,16.0,10.0,16.0,512.0,15.6,1920.0,141.21,1080.0,1.0,62.0,0.79,78190
Lenovo,Lenovo LOQ 15IRX9 83DV00BEIN Gaming Laptop (14th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 8GB RTX 4060),Intel,Core i7,4.35,SSD,NVIDIA,Dedicated,False,Windows 11,True,True,True,Medium,Slow,28.0,20.0,16.0,1000.0,15.6,1920.0,141.21,1080.0,1.0,94.0,0.82,114990
Asus,Asus ROG Strix SCAR 16 (2025) G635 Gaming Laptop (Intel Core Ultra 9 Processor 275HX/ 32GB/ 2TB SSD/ Win11 Home/ RTX5090 Graph),Intel,Core Ultra 9,4.3,SSD,NVIDIA,Dedicated,False,Windows 11,True,True,True,Fast,Medium,28.8,20.8,32.0,2000.0,16.0,2560.0,188.68,1600.0,1.0,110.4,0.5700000000000001,449999
HP,HP 255 G10 B1FW9PT Laptop (AMD Ryzen 3 7320U/ 8GB/ 512GB SSD/ Win11),AMD,Ryzen 3,4.7,SSD,AMD,Integrated,False,Windows 11,True,True,False,Slow,Slow,8.0,8.0,8.0,512.0,15.6,1366.0,100.45,768.0,1.0,32.0,1.24,25800
Apple,Apple MacBook Pro 14 2024 Laptop (Apple M4/ 16GB/ 512GB SSD/ macOS),Apple,Other,4.15,SSD,Apple,Integrated,False,Mac,False,False,False,Slow,Fast,18.4,10.0,16.0,512.0,14.2,3024.0,253.93,1964.0,1.0,62.4,0.6479999999999999,162990
MSI,MSI Modern 15 H AI C1MG-050IN Laptop (Intel Core Ultra 5 125H/ 8GB/ 512GB SSD/ Win11 Home),Intel,Core Ultra 5,4.0,SSD,Intel,Integrated,False,Windows 11,True,True,False,Medium,Slow,18.0,14.0,8.0,512.0,15.6,1920.0,141.21,1080.0,1.0,54.0,1.12,48300
Lenovo,Lenovo IdeaPad 5 14IRH9 83KX0019IN Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home),Intel,Core i7,4.1,SSD,Intel,Integrated,True,Windows 11,True,True,False,Medium,Medium,16.0,10.0,16.0,512.0,14.0,1920.0,161.73,1200.0,1.0,52.0,0.61,84690
Lenovo,Lenovo IdeaPad Slim 3 83ER00F2IN Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11),Intel,Core i5,4.7,SSD,Intel,Integrated,False,Windows 11,True,True,False,Medium,Slow,12.0,8.0,8.0,512.0,15.6,1920.0,141.21,1080.0,1.0,36.0,0.77,46899
HP,HP Victus 15-fa1274TX Gaming Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),Intel,Core i7,4.7,SSD,NVIDIA,Dedicated,False,Windows 11,True,True,True,Medium,Slow,16.0,10.0,16.0,512.0,15.6,1920.0,141.21,1080.0,1.0,62.0,0.73,84990
